1;Bulbasaur;Grass;Poison;7;69;A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.;Images/1_bulbasaur.png;Sounds/1_bulbasaur.ogg
2;Ivysaur;Grass;Poison;10;130;When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.;Images/2_ivysaur.png;Sounds/2_ivysaur.ogg
3;Venusaur;Grass;Poison;20;1000;Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.;Images/3_venusaur.png;Sounds/3_venusaur.ogg
4;Charmander;Fire;;6;85;It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.;Images/4_charmander.png;Sounds/4_charmander.ogg
5;Charmeleon;Fire;;11;190;When it swings its burning tail, it elevates the air temperature to  unbearably high levels.;Images/5_charmeleon.png;Sounds/5_charmeleon.ogg
6;Charizard;Fire;Flying;17;905;It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.;Images/6_charizard.png;Sounds/6_charizard.ogg
7;Squirtle;Water;;5;90;After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth.;Images/7_squirtle.png;Sounds/7_squirtle.ogg
8;Wartortle;Water;;10;225;It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.;Images/8_wartortle.png;Sounds/8_wartortle.ogg
9;Blastoise;Water;;16;855;The pressurized water jets on this brutal POKéMON s shell are used for high- speed tackles.;Images/9_blastoise.png;Sounds/9_blastoise.ogg
10;Caterpie;Bug;;3;29;Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.;Images/10_caterpie.png;Sounds/10_caterpie.ogg
11;Metapod;Bug;;7;99;This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.;Images/11_metapod.png;Sounds/11_metapod.ogg
12;Butterfree;Bug;Flying;11;320;In battle, it flaps its wings at great speed to release highly toxic dust into the air.;Images/12_butterfree.png;Sounds/12_butterfree.ogg
13;Weedle;Bug;Poison;3;32;Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison.;Images/13_weedle.png;Sounds/13_weedle.ogg
14;Kakuna;Bug;Poison;6;100;Almost incapable of moving, this POKéMON can only harden its shell to protect itself when it is in danger.;Images/14_kakuna.png;Sounds/14_kakuna.ogg
15;Beedrill;Bug;Poison;10;295;It flies at high speed and attacks using  the large venomous stingers on its forelegs and tail.;Images/15_beedrill.png;Sounds/15_beedrill.ogg
16;Pidgey;Normal;Flying;3;18;A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.;Images/16_pidgey.png;Sounds/16_pidgey.ogg
17;Pidgeotto;Normal;Flying;11;300;Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.;Images/17_pidgeotto.png;Sounds/17_pidgeotto.ogg
18;Pidgeot;Normal;Flying;15;395;When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.;Images/18_pidgeot.png;Sounds/18_pidgeot.ogg
19;Rattata;Normal;;3;35;Bites anything when it attacks. Small and very quick, it is a common sight in many places.;Images/19_rattata.png;Sounds/19_rattata.ogg
20;Raticate;Normal;;7;185;It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.;Images/20_raticate.png;Sounds/20_raticate.ogg
21;Spearow;Normal;Flying;3;20;Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.;Images/21_spearow.png;Sounds/21_spearow.ogg
22;Fearow;Normal;Flying;12;380;With its huge and magnificent wings, it can keep aloft without ever having to land for rest.;Images/22_fearow.png;Sounds/22_fearow.ogg
23;Ekans;Poison;;20;69;Moving silently and stealthily, it eats the eggs of birds, such as PIDGEY and SPEAROW, whole.;Images/23_ekans.png;Sounds/23_ekans.ogg
24;Arbok;Poison;;35;650;It is rumored that the ferocious warning markings on its belly differ from area to area.;Images/24_arbok.png;Sounds/24_arbok.ogg
25;Pikachu;Electric;;4;60;When several of these POKéMON gather, their electricity can build and cause lightning storms.;Images/25_pikachu.png;Sounds/25_pikachu.ogg
